model,chips,fps
model_explorer_theDataFox_capstone_GitHub,2,135.3
model_explorer_openvinotoolkit_openvino_GitHub_5,2,1941.9
model_explorer_onnx_models_GitHub_165,2,1460.7
model_explorer_BLRSAI_VEXAI-Sim_GitHub_1,2,811688.3
model_explorer_rainbowbismuth_bird-vision_GitHub_1,2,84203.4
model_explorer_usubioinfo_malivhustandalone_GitHub,2,1539.8
model_explorer_YuNetV2_7211ef47fdd0f316eea7a167c2838751_PINTO_3,2,269.9
model_explorer_lightface_slim_a32fbd29f2df85560c144138bb7221ff_Hailo,2,1423.9
model_explorer_imagenet_mobilenet_v3_large_075_224_feature_vector_19188b8fc6bfbf1475a81462672bdbeb_TFHub,2,197.5
model_explorer_Estacao-pilhas-pi2_battery-analyser_GitHub,2,730.9
model_explorer_NVIDIA-ISAAC-ROS_isaac_ros_dnn_stereo_disparity_GitHub,2,107.7
model_explorer_MobileNetV2_b41676ee67842101d342dd88961ddea4_Coral,2,2046.6
model_explorer_NathaAix_detection_GitHub,2,195.2
model_explorer_yuradanyliuk_AutomaticParking_GitHub_2,2,434027.8
model_explorer_imagenet_mobilenet_v2_035_96_classification_609b09cce2876554dad240ce7b28cef1_TFHub,2,10571
model_explorer_mnasnet_1.3_224_d4c5d0f37ae34012f0d2e961e8249639_TFHub,2,1063.5
model_explorer_mobilenet_v1_0.50_160_quantized_b64d8c4c26a5574eb6bc7054416e38ff_TFHub,2,3800.1
model_explorer_navn-r_yuHacks21_GitHub,2,5216.4
model_explorer_batu_ProjNar_GitHub_1,2,53685.5
model_explorer_adit-g_willow_GitHub,2,54083.3
model_explorer_mp_face_detection_short_range_local_model,2,4937.1
model_explorer_yolov1_tiny_local_model,2,257.4
model_explorer_SynergyNet_bd634b56ca115616db0e1cc2a0459f5d_PINTO_1,2,5867.5
model_explorer_mobilenetv2-ssdlite_4254f13f8c85cb87bacaeae0d0bab7eb_PINTO_2,2,633.7
model_explorer_MiesnerJacob_computer-vision-streamlit_GitHub,2,156813.5
model_explorer_alejoortizd_test_GitHub,2,3881.9
model_explorer_imagenet_mobilenet_v3_small_075_224_feature_vector_87fd5db86edd3e410b475581fe33c557_TFHub,2,197.5
model_explorer_MobileOne_d3705525e4cfc3ebe256dda46b488605_PINTO_1,2,906.5
model_explorer_face_attr_resnet_v1_18_a3c4d9cfdcd350ef27b5ad17044a97ec_Hailo,2,325
model_explorer_HHP-Net_821b130f29bfe641c1f1d4434a3674b4_PINTO_28,2,651041.7
model_explorer_torinmb_mediapipe-touchdesigner_GitHub_7,2,299.8
model_explorer_PP-LCNetV2_74a1019134f7a3775833d121b9486efd_PINTO_4,2,1382.2
model_explorer_raytheonbbn_tak-ml_GitHub_1,2,1784.5
model_explorer_imagenet_mobilenet_v1_025_192_classification_b8e402df2a973fbe9dd23cf71a42756e_TFHub,2,2972.3
model_explorer_AntiSpoofNet_07795bfa63d564c86bc5b21bc5ec91bb_OpenVINO,2,2234.2
model_explorer_RegNetX002_94e18f2b57390d662f4b89588a40ec3c_KerasApps,2,1502.3
model_explorer_yolov3-lite_54861eb28f72c109b69d2110ba8cde5c_PINTO_4,2,460.1
model_explorer_opencv_opencv_zoo_GitHub_5,2,241.4
model_explorer_mrdakj_letters_GitHub,2,2549
model_explorer_ersilia-os_image-based-dl_GitHub,2,512.6
model_explorer_efficientnet_lite1_classification_aa4301730a28e9fcd33556a0640f4ce1_TFHub,2,792.7
model_explorer_onnx_models_GitHub_119,2,1177.8
model_explorer_steverab_failing-loudly_GitHub_2,2,24054.1
model_explorer_MobileNetV11.0224_a29aa60fa7b17e5dde663a7afa14a63b_OpenVINO_1,2,1784.5
model_explorer_TheJacksonLaboratory_CUP-AI-Dx_GitHub,2,532.5
model_explorer_Speech-enhancement_b160abe9c8b1b7a73b132577c018bd94_PINTO_6,2,669.6
model_explorer_openvinotoolkit_openvino_GitHub_11,2,470.4
model_explorer_logicthinkedu_CVJD_Demo_GitHub,2,39.2
model_explorer_axinc-ai_onnx-quantization_GitHub_3,2,2024.1
model_explorer_hardnet39ds_faff4e149a7586471f3ea8f297fed03f_Hailo,2,453.3
model_explorer_mrakesh0608_Sahaay_GitHub,2,516
model_explorer_Anshal55_Real-time-age-gender-and-emotion_GitHub,2,5544.7
model_explorer_mp_selfie_segmentation_landscape_local_model,2,299.8
model_explorer_RevTpark_pokeDex-app_GitHub,2,1863.9
model_explorer_facial_expression_recognition_mobilefacenet_e12622b988d7e35a68309814a17ef21b_PINTO_6,2,3089.3
model_explorer_squeezenet_7512787ef918e0045b9d956b3edc283b_TFHub,2,478.1
model_explorer_emza-vs_ModelZoo_GitHub_3,2,783.7
model_explorer_SSDMobileNetV2_062004a403d4681fd697b105381df239_Coral,2,786.7
model_explorer_speech_enhancement_unet_local_model,2,670
model_explorer_GGolfz_Papaya-Backend_GitHub,2,339.5
model_explorer_mobilenet_v1_0.50_128_quantized_1179e66f6fa1792e08f280eee3cdc38f_TFHub,2,6383.8
model_explorer_Tox1cCoder_CatsVsDogsClassification_GitHub,2,2899.6
model_explorer_onnx_models_GitHub_4,2,1178.2
model_explorer_RegNetY002_5c61b8901651140b31f1090e3419880e_KerasApps,2,822.4
model_explorer_mobilenet_v1_1.0_160_quantized_6d07d9e605753e870edfcad175b7645b_TFHub,2,321.6
model_explorer_centernet_mobilenetv2_kpts_local_model,2,194.9
model_explorer_open-closed-eye-0001_8d44147a988e0f99ddb31beb1e69717c_PINTO_2,2,22000.7
model_explorer_balanarenmar_Project_Helping_Hands_GitHub_7,2,1165.1
model_explorer_sutongkui_SubPhysics_GitHub,2,251067
model_explorer_object_detection_mobile_object_localizer_v1_219f90d4ed1d812ac311ccbce9b00d77_TFHub,2,2405.3
model_explorer_batu_ProjNar_GitHub_14,2,29403.1
model_explorer_ndawinata_Flask-RestAPI-CNN-Awan_GitHub,2,1723.4
model_explorer_opencv_opencv_zoo_GitHub_33,2,613.2
model_explorer_ML-Chen_vaporwave-gan_GitHub_1,2,10124.7
