Model,FPS
model_explorer_InceptionV3_0168ae4c9dddd3c9473d4c5a93d1a070_Coral,769.4271
model_explorer_inferenceengine_shadernn_GitHub_4,2443.911
model_explorer_inferenceengine_shadernn_GitHub_5,544.4742
model_explorer_inferenceengine_shadernn_GitHub_7,1568.473
model_explorer_IP1102_Face-Mask-Detection_GitHub,88.85934564
model_explorer_islem-esi_DeepMalwareDetector_GitHub,2371.156
model_explorer_jaigane6387_images_classifier_GitHub,204.5131
model_explorer_janantala_senior-detection_GitHub,2411.553
model_explorer_jaspervillarosa_VILLAROSA_THESIS_GitHub,2481.252
model_explorer_jaspervillarosa_VILLAROSA_THESIS_GitHub_1,2466.889
model_explorer_jasr88_object-detection_GitHub,274.1968
model_explorer_jdunns_w251_hw6_GitHub,497.307
model_explorer_jeremia49_Dicoding-Tensorflow-Certification-Preparation_GitHub,2445.128
model_explorer_jeremia49_Dicoding-Tensorflow-Certification-Preparation_GitHub_1,2332.699
model_explorer_jmsulliv_Optical-Prediction-Neural-Network_GitHub_1,2479.011
model_explorer_jmsulliv_Optical-Prediction-Neural-Network_GitHub_3,2467.891
model_explorer_jofuelo_multimodal_emotion_detector_GitHub,660.1754
model_explorer_joncoons_Manufacturing-Vision-Accelerator-AMD64-v2_GitHub_3,407.4304
model_explorer_joncoons_Manufacturing-Vision-Accelerator-AMD64-v2_GitHub_4,289.4763
model_explorer_joncoons_Manufacturing-Vision-Accelerator-AMD64-v2_GitHub_7,1513.107
model_explorer_JosephCatrambone_pixelbox_GitHub,44.38566
model_explorer_JosephCatrambone_pixelbox_GitHub_1,665.0114
model_explorer_joshi-swetam_Flower-Recognition-AI-ML-Model_GitHub_1,1624.047
model_explorer_JuanCruzC97_ml-stuff_GitHub,937.4297
model_explorer_JulianFeinauer_test123_GitHub,226.9545
model_explorer_jumpnet_local_model,114.2989
model_explorer_K-Team-Coders_AfterburnerSQL_GitHub,2470.895
model_explorer_kackey0-1_project_ai_GitHub,2400.619
model_explorer_kaiidams_TransferLearningAudio_GitHub,2688.694
model_explorer_Kastori1206_catheroes_GitHub,2396.844
model_explorer_kayou11_Projet-Datascience_GitHub,-1
model_explorer_keonroohparvar_AI_ChessEngine_GitHub,2378.068
model_explorer_kevin-emmatty_healthcare_GitHub,208.1638
model_explorer_kklosowski_CIFAR10-with-Keras_GitHub,2470.059
model_explorer_kkweon_mnist-competition_GitHub,1165.776
model_explorer_kneron_ONNX_Convertor_GitHub,1579.413
model_explorer_Kotetsu0000_JavaOthello_GitHub_1,2450.597
model_explorer_Kotetsu0000_JavaOthello_GitHub_2,2378.624
model_explorer_kuff_medslr_GitHub,2473.109
model_explorer_kuff_medslr_GitHub_1,2470.435
model_explorer_kuff_medslr_GitHub_2,2404.139
model_explorer_Laknath1996_sEMG-Hand-Gesture-Recognition_GitHub,2385.99
model_explorer_lewiuberg_tumorclass.info_GitHub,1515.503
model_explorer_Light-SERNet_521ccf093256c61a558f00016e572873_PINTO_2,2377.066
model_explorer_Light-SERNet_521ccf093256c61a558f00016e572873_PINTO_3,2422.263
model_explorer_lightcnn_v4_local_model,784.6952
model_explorer_lightface_slim_a32fbd29f2df85560c144138bb7221ff_Hailo,1229.813
model_explorer_linknet_resnet18_local_model,24.88676
